COUNT,House Amount (in thousands),Senate Amount (in thousands),Final Amount (in thousands),Program Increase,Floor Amendment,Sponsor(s),Airdrop,Zero to Hero,Unfunded Priority,Program Element,Service Subsection,Bill Subsection,Bill Section,Proposed Funding Offset
,"$5,000",$0,$0,would allow the Air Force Research Lab (AFRL) and Space Force additional resources to rapidly demonstrate Advanced Spacecraft Energetic Non-Toxic (ASCENT) multi-mode electric propulsion,45.0,"Lieu (CA), Carbajal (CA), Lamborn (CO)",No,Yes,No,Space Technology,,Space Force,RDT&E,"O&M, Defense Wide"
,"$7,500","$2,000","$2,000",Accelerating Space Operators Education and Experiential Learning / Space operators education and experiential learning,44.0,"Lieu (CA), Carbajal (CA), Lamborn (CO)",No,Yes,No,"Space Innovation, Integration and Rapid Technology Development",,Space Force,RDT&E,"O&M, Defense Wide"
,"$12,000",$0,"$3,000",Additive Manufacturing Digital Technology Maturation and Adoption / additive manufacturing digital technology maturation,43.0,Kuster (NH),No,Yes,No,Rapid Sustainment Modernization [RSM],,Air Force,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,"$2,500",Denied Area Monitoring & Exploitation v2.5 / denied area monitoring and exploitation,42.0,Kelly (MS),No,Yes,No,Network C3I Advanced Technology,,Army,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,$0,Denied Area Monitoring & Exploitation v2.5,42.0,Kelly (MS),No,Yes,No,,,Army,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,"$2,500",to support the Navy's autonomous underwater vehicle (AUV) mission / autonomous underwater vehicle,41.0,Keating (MA),No,No,No,Undersea Warfare Applied Research,,Navy,RDT&E,"O&M, Defense Wide"
,"$7,000",$0,$0,Army RDT&E,40.0,Kamlager-Dove (CA),No,No,No,,,Army,RDT&E,"O&M, Defense Wide"
,"$15,000","$15,000","$15,000",Program increase,39.0,"Joyce (PA), Trone (MD), Thompson (PA), Kelly (MS), Wild (PA), Finstad (MN), Houlahan (PA)",No,No,No,"Truck, Dump, 20T (CCE)","Other Procurement, Army",Army,Procurement,
,"$122,600",$0,$0,"Aircraft Procurement, Air Force",38.0,James (MI),No,No,No,,"Aircraft Procurement, Air Force",Air Force,Procurement,"O&M, Defense Wide"
,"$10,000",$0,$0,Derisking Production of the Advanced Combat Transmission,37.0,James (MI),No,Yes,No,Armored System Moderniza tion - Adv Dev,,Army,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,"$2,000",to support development of Turbo Air Cooled HTPEM Hydrogen Fuel Cell / HTPEM hydrogren fuel cells,35.0,"Houlahan (PA), Moore (UT)",No,Yes,No,Aerospace Propulsion and Power Technology,,Air Force,RDT&E,"O&M, Defense Wide"
,"$5,000",$0,$0,"to establish an Aircraft Corrosion Certification Initiative, which would utilize industry experience with airframe testing combined with environmental and dynamic testing",33.0,Garbarino (NY),No,Yes,No,Force Protection Applied Research,,Navy,RDT&E,"O&M, Defense Wide"
